source,target
paper_28640836,journal_PloS one
paper_36863657,journal_Environmental research
paper_39774831,journal_Scientific reports
paper_38204816,journal_Frontiers in neuroscience
paper_24928711,journal_Clinics and research in hepatology and gastroenterology
paper_35434133,journal_BioMed research international
paper_32217429,"journal_European journal of obstetrics, gynecology, and reproductive biology"
paper_38221110,journal_Zootaxa
paper_34766472,"journal_Immunity, inflammation and disease"
paper_37518769,journal_International wound journal
paper_38577148,journal_Indian journal of clinical biochemistry : IJCB
paper_21127214,"journal_Science (New York, N.Y.)"
paper_38102661,journal_BMC complementary medicine and therapies
paper_38482149,journal_The Lancet regional health. Southeast Asia
paper_38932455,journal_Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI)
paper_39129757,journal_Virus evolution
paper_38159571,journal_Immunity
paper_38141345,journal_Journal of environmental management
paper_38158669,"journal_Cellular and molecular biology (Noisy-le-Grand, France)"
paper_38135959,"journal_Bioengineering (Basel, Switzerland)"
paper_38136716,"journal_Antibiotics (Basel, Switzerland)"
paper_35378945,journal_Journal of healthcare engineering
paper_37989525,journal_Life science alliance
paper_38157847,journal_Cell systems
paper_35912162,journal_Computational and mathematical methods in medicine
paper_36787269,journal_International wound journal
paper_33270670,journal_PloS one
paper_38357133,journal_African health sciences
paper_20176685,journal_The Journal of pharmacology and experimental therapeutics
paper_38135598,journal_Trends in immunology
paper_34915030,journal_Environmental research
paper_37972905,journal_European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences
paper_37221969,journal_International wound journal
paper_36105671,journal_Emergency medicine international
paper_38140193,journal_Vaccines
paper_38680232,journal_F1000Research
paper_39165512,journal_Frontiers in endocrinology
paper_38086039,journal_Biochemistry and cell biology = Biochimie et biologie cellulaire
paper_35251574,journal_Journal of healthcare engineering
paper_38455215,journal_Food science & nutrition
paper_39659724,journal_Frontiers in public health
paper_38110612,journal_EcoHealth
paper_37381159,journal_International wound journal
paper_38283837,journal_Frontiers in pharmacology
paper_40467629,journal_Scientific reports
paper_31612498,journal_Journal of cellular physiology
paper_38179422,journal_Frontiers in cellular and infection microbiology
paper_38920202,"journal_Annals of the Academy of Medicine, Singapore"
paper_35281946,journal_Computational and mathematical methods in medicine
paper_35369216,journal_Frontiers in psychology
paper_39620572,journal_Hip & pelvis
paper_27588132,journal_Oncology letters
paper_35072682,"journal_Chemical communications (Cambridge, England)"
paper_38971357,journal_Environmental research
paper_38191877,journal_Bulletin of experimental biology and medicine
paper_38572189,journal_Skin appendage disorders
paper_27878359,journal_Cancer chemotherapy and pharmacology
paper_38142765,journal_Experimental parasitology
paper_38934825,journal_Indian journal of public health
paper_36060877,journal_Journal of environmental and public health
paper_26221215,journal_International journal of clinical and experimental medicine
paper_39067943,journal_The Indian journal of tuberculosis
paper_38298658,journal_Heliyon
paper_35419690,journal_Environmental science and pollution research international
paper_37997702,journal_Journal of cellular biochemistry
paper_35924272,journal_BioMed research international
paper_38187751,journal_bioRxiv : the preprint server for biology
paper_38202817,"journal_Molecules (Basel, Switzerland)"
paper_26137089,journal_Oncology letters
paper_36398281,journal_International journal of analytical chemistry
paper_38235144,journal_Frontiers in immunology
paper_35092751,journal_Chemosphere
paper_38117471,journal_Food and environmental virology
paper_38205253,journal_iScience
paper_38114925,journal_BMC plant biology
paper_38143826,journal_Journal of veterinary research
paper_38976344,journal_Nepalese journal of ophthalmology : a biannual peer-reviewed academic journal of the Nepal Ophthalmic Society : NEPJOPH
paper_38376315,journal_Journal of cancer research and therapeutics
paper_38526814,journal_Journal of food and drug analysis
paper_32382540,journal_BioMed research international
paper_34795884,journal_Journal of healthcare engineering
paper_38736050,journal_The Journal of the Association of Physicians of India
paper_38095620,journal_Asia-Pacific journal of public health
paper_34812407,journal_BioMed research international
paper_38260915,journal_Frontiers in microbiology
paper_37740672,journal_International wound journal
paper_35959006,journal_Frontiers in psychology
paper_38096407,journal_Proceedings of the National Academy of Sciences of the United States of America
paper_38086830,journal_Nature communications
paper_38054350,"journal_Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
paper_38375383,journal_The Saudi dental journal
paper_37461228,journal_Environmental toxicology
paper_38174801,journal_Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI)
paper_38162315,journal_Virus evolution
paper_34153666,journal_International immunopharmacology
paper_38303422,journal_Mathematical biosciences and engineering : MBE
paper_37995682,journal_Cancer cell
paper_38391319,journal_Indian journal of pathology & microbiology
paper_38054691,journal_Pediatric blood & cancer
paper_29332449,journal_Technology in cancer research & treatment
paper_38159064,journal_Urologia
paper_37893209,journal_Biomedicines
paper_33224269,journal_Applied bionics and biomechanics
paper_39416692,"journal_Biotechnology notes (Amsterdam, Netherlands)"
paper_38275954,journal_Viruses
paper_32555687,journal_PloS one
paper_33786627,journal_Oncology reports
paper_31383785,journal_Bioscience reports
paper_37995778,journal_International journal of biological macromolecules
paper_35222166,journal_Frontiers in psychology
paper_39602408,journal_PloS one
paper_38128283,journal_Talanta
paper_38348845,journal_The Journal of thoracic and cardiovascular surgery
paper_36277018,journal_Computational and mathematical methods in medicine
paper_35419950,journal_International wound journal
paper_38048358,journal_PLoS biology
paper_38389815,journal_Advances in drug and alcohol research
paper_38225879,journal_Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI)
paper_38391359,journal_Indian journal of pathology & microbiology
paper_38138048,journal_Microorganisms
paper_39973436,journal_Clinical hemorheology and microcirculation
paper_32377717,journal_International journal of molecular medicine
paper_40063882,journal_PloS one
paper_32010312,journal_Experimental and therapeutic medicine
paper_35514372,journal_RSC advances
paper_38186569,journal_Oncology research
paper_35928576,journal_Applied bionics and biomechanics
paper_34631879,journal_BioMed research international
paper_38516562,journal_Polymer engineering and science
paper_38153067,journal_Annals of agricultural and environmental medicine : AAEM
paper_23175669,journal_Journal of experimental botany
paper_38116887,journal_IUBMB life
paper_37426799,journal_Heliyon
paper_35600847,journal_Applied bionics and biomechanics
paper_34859101,journal_BioMed research international
paper_38235361,journal_Computational and structural biotechnology journal
paper_38232076,journal_PloS one
paper_37973906,journal_Cancer research and treatment
paper_34671638,journal_Frontiers in surgery
paper_33956874,journal_PLoS pathogens
paper_27823944,journal_Contraception
paper_40226427,journal_Journal of tissue engineering and regenerative medicine
paper_39491997,journal_Water research
paper_35928913,journal_BioMed research international
paper_19832910,journal_International journal of dental hygiene
paper_28122024,journal_PloS one
paper_34912536,journal_Journal of healthcare engineering
paper_38192304,journal_International journal for parasitology. Parasites and wildlife
paper_38139055,journal_International journal of molecular sciences
paper_34840694,journal_Journal of healthcare engineering
paper_38140632,journal_Viruses
paper_38071287,journal_BMC pulmonary medicine
paper_26750490,journal_Oncology reports
paper_35388316,journal_Journal of healthcare engineering
paper_38094281,journal_Iranian journal of medical sciences
paper_36199769,journal_Computational and mathematical methods in medicine
paper_34483720,journal_Soft computing
paper_32775413,journal_BioMed research international
paper_38273938,journal_Frontiers in molecular neuroscience
paper_38221427,journal_Zootaxa
paper_38486933,journal_Frontiers in oncology
paper_35983532,journal_Computational and mathematical methods in medicine
paper_38179121,journal_Mycobiology
paper_38076177,journal_Heliyon
paper_28498402,journal_International journal of oncology
paper_38211383,journal_Computers in biology and medicine
paper_15122332,journal_Oncogene
paper_37703780,journal_Talanta
paper_38295661,journal_Phytomedicine : international journal of phytotherapy and phytopharmacology
paper_38066428,journal_BMC gastroenterology
paper_37958509,journal_International journal of molecular sciences
paper_38079031,journal_Probiotics and antimicrobial proteins
paper_38283502,journal_Cureus
paper_38653412,journal_The Science of the total environment
paper_39286110,journal_Heliyon
paper_38168188,journal_bioRxiv : the preprint server for biology
paper_38563121,journal_International wound journal
paper_24348091,journal_Journal of nanoparticle research : an interdisciplinary forum for nanoscale science and technology
paper_31286874,journal_BMC cancer
paper_38220149,journal_[Rinsho ketsueki] The Japanese journal of clinical hematology
paper_38855125,journal_International journal of mass spectrometry
paper_29207128,journal_International journal of oncology
paper_26070226,journal_International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics
paper_38092626,"journal_Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi"
paper_34993785,journal_Environmental science and pollution research international
paper_38187743,journal_bioRxiv : the preprint server for biology
paper_38429765,journal_BMC endocrine disorders
paper_38099280,"journal_Neurobiology of pain (Cambridge, Mass.)"
paper_38993868,journal_Frontiers in transplantation
paper_38114825,journal_World journal of microbiology & biotechnology
paper_38139241,journal_International journal of molecular sciences
paper_26044095,journal_International journal of oncology
paper_34840983,journal_BioMed research international
paper_35811632,journal_Applied bionics and biomechanics
paper_38484699,journal_International wound journal
paper_36133167,journal_Journal of environmental and public health
paper_38375059,journal_JACC. Advances
paper_38127688,journal_Endocrine regulations
paper_38146370,journal_Frontiers in immunology
paper_26767085,journal_Journal of clinical medicine research
paper_35535444,journal_European journal of translational myology
paper_34352022,journal_PloS one
paper_38136706,"journal_Antibiotics (Basel, Switzerland)"
paper_28253329,journal_PloS one
paper_35530072,journal_RSC advances
paper_38069222,journal_International journal of molecular sciences
paper_38073110,journal_Turkish journal of obstetrics and gynecology
paper_38638342,journal_Clinical kidney journal
paper_39139204,journal_Open forum infectious diseases
paper_38938339,journal_JACC. Advances
paper_33378388,journal_PloS one
paper_39076436,journal_Reviews in cardiovascular medicine
paper_38201286,journal_Cells
paper_29956767,journal_Molecular medicine reports
paper_36035305,journal_Computational and mathematical methods in medicine
paper_38086832,journal_Nature communications
paper_37991493,journal_eLife
paper_33224979,journal_BioMed research international
paper_33033758,journal_Heliyon
paper_34485741,journal_Heliyon
paper_39206771,journal_Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI)
paper_33221307,journal_Environmental research
paper_38312918,journal_Frontiers in psychiatry
paper_38101710,journal_Gene
paper_38085267,journal_The Journal of experimental medicine
paper_34483415,journal_Journal of molecular liquids
paper_35368937,journal_Journal of healthcare engineering
paper_37993905,journal_Journal of hematology & oncology
paper_38201604,journal_Cancers
paper_38356310,journal_Environmental toxicology
paper_38087399,journal_Journal of the science of food and agriculture
paper_37992806,journal_The Journal of biological chemistry
paper_38495517,journal_Current dermatology reports
paper_38097154,journal_Experimental parasitology
paper_38133713,journal_Infection
paper_32497077,journal_PloS one
paper_38249405,journal_Frontiers in public health
paper_38134643,journal_Epilepsy research
paper_38989034,journal_Galen medical journal
paper_37989314,journal_Cell chemical biology
paper_38299149,journal_Frontiers in immunology
paper_29063496,journal_Infection
paper_35528532,journal_Applied bionics and biomechanics
paper_9178895,journal_Oncogene
paper_38186884,journal_Clinical kidney journal
paper_36212717,journal_BioMed research international
paper_38070223,"journal_Pathology, research and practice"
paper_38322206,journal_Hepatobiliary surgery and nutrition
paper_38304402,journal_Frontiers in psychiatry
paper_38203247,journal_International journal of molecular sciences
paper_38250913,journal_Veterinary sciences
paper_38222070,journal_Non-coding RNA research
paper_36827253,journal_PloS one
paper_23308143,journal_PloS one
paper_38714931,journal_BMC psychiatry
paper_28797110,journal_PloS one
paper_24632829,journal_PloS one
paper_33006998,journal_PloS one
paper_33456433,journal_Personal and ubiquitous computing
paper_33836181,journal_Environmental research
paper_35958808,journal_BioMed research international
paper_35502350,journal_Computational intelligence and neuroscience
paper_26856354,"journal_The journal of maternal-fetal & neonatal medicine : the official journal of the European Association of Perinatal Medicine, the Federation of Asia and Oceania Perinatal Societies, the International Society of Perinatal Obstetricians"
paper_38141123,journal_Environmental science and pollution research international
paper_34280417,journal_Environmental research
paper_38966098,"journal_BMJ nutrition, prevention & health"
paper_38061428,journal_Annals of oncology : official journal of the European Society for Medical Oncology
paper_38039743,"journal_Pathology, research and practice"
paper_39866441,journal_Heliyon
paper_34901272,journal_BioMed research international
paper_38142677,journal_Hormone research in paediatrics
paper_36237125,journal_International wound journal
paper_35774742,journal_Evidence-based complementary and alternative medicine : eCAM
paper_33137167,journal_PloS one
paper_39310862,journal_Journal of medical ultrasound
paper_39077011,journal_Reviews in cardiovascular medicine
