source,target
paper_28640836,mesh_Adult
paper_28640836,mesh_Aged
paper_28640836,mesh_Face
paper_28640836,mesh_Female
paper_28640836,mesh_Humans
paper_28640836,"mesh_Image Processing, Computer-Assisted"
paper_28640836,mesh_Male
paper_28640836,mesh_Middle Aged
paper_28640836,mesh_Principal Component Analysis
paper_28640836,mesh_Skull
paper_28640836,mesh_Young Adult
paper_36863657,mesh_Nickel
paper_36863657,mesh_Ethylene Glycol
paper_36863657,mesh_Cobalt
paper_36863657,mesh_Alloys
paper_36863657,mesh_Carbon
paper_24928711,mesh_Acute Disease
paper_24928711,mesh_Adolescent
paper_24928711,mesh_Adult
paper_24928711,mesh_Aged
paper_24928711,mesh_Cadaver
paper_24928711,mesh_Drug Resistance
paper_24928711,mesh_Female
paper_24928711,mesh_Glucocorticoids
paper_24928711,mesh_Graft Rejection
paper_24928711,mesh_Humans
paper_24928711,mesh_Liver Transplantation
paper_24928711,mesh_Male
paper_24928711,mesh_Middle Aged
paper_24928711,mesh_Retrospective Studies
paper_24928711,mesh_Young Adult
paper_35434133,"mesh_Arthritis, Rheumatoid"
paper_35434133,mesh_Biomarkers
paper_35434133,mesh_Computational Biology
paper_35434133,mesh_Gene Expression Profiling
paper_35434133,mesh_Gene Regulatory Networks
paper_35434133,mesh_Humans
paper_32217429,mesh_Adult
paper_32217429,mesh_Aspirin
paper_32217429,mesh_China
paper_32217429,"mesh_Dose-Response Relationship, Drug"
paper_32217429,mesh_Female
paper_32217429,mesh_Humans
paper_32217429,mesh_Incidence
paper_32217429,mesh_Platelet Aggregation Inhibitors
paper_32217429,mesh_Pre-Eclampsia
paper_32217429,mesh_Pregnancy
paper_32217429,mesh_Pregnancy Outcome
paper_32217429,mesh_Prospective Studies
paper_38221110,mesh_Animals
paper_38221110,mesh_Echinodermata
paper_38221110,mesh_Anthozoa
paper_38221110,"mesh_DNA, Mitochondrial"
paper_34766472,mesh_Apoptosis
paper_34766472,"mesh_Arthritis, Rheumatoid"
paper_34766472,mesh_Collagen Type V
paper_34766472,mesh_Humans
paper_34766472,mesh_Inflammation
paper_34766472,mesh_MicroRNAs
paper_34766472,"mesh_RNA, Long Noncoding"
paper_37518769,mesh_Humans
paper_37518769,mesh_Surgical Wound Infection
paper_37518769,mesh_Negative-Pressure Wound Therapy
paper_37518769,mesh_Incidence
paper_37518769,mesh_Surgical Wound
paper_37518769,mesh_Surgical Wound Dehiscence
paper_21127214,mesh_Arsenates
paper_21127214,mesh_Arsenic
paper_21127214,mesh_Bacterial Proteins
paper_21127214,mesh_California
paper_21127214,mesh_Culture Media
paper_21127214,"mesh_DNA, Bacterial"
paper_21127214,mesh_Geologic Sediments
paper_21127214,mesh_Halomonadaceae
paper_21127214,mesh_Molecular Sequence Data
paper_21127214,mesh_Phosphates
paper_21127214,mesh_Phosphorus
paper_21127214,"mesh_Spectrometry, Mass, Secondary Ion"
paper_21127214,mesh_Vacuoles
paper_21127214,mesh_Water Microbiology
paper_38102661,mesh_Humans
paper_38102661,"mesh_Carcinoma, Non-Small-Cell Lung"
paper_38102661,mesh_Lung Neoplasms
paper_38102661,mesh_Proteomics
paper_38102661,"mesh_Cell Line, Tumor"
paper_38102661,mesh_Apoptosis
paper_38932455,mesh_Alopecia Areata
paper_38932455,mesh_Humans
paper_38932455,mesh_Mendelian Randomization Analysis
paper_38932455,"mesh_Polymorphism, Single Nucleotide"
paper_38932455,mesh_Lipids
paper_38932455,mesh_Genetic Predisposition to Disease
paper_38159571,mesh_Aged
paper_38159571,mesh_Animals
paper_38159571,mesh_Humans
paper_38159571,mesh_Mice
paper_38159571,mesh_Alzheimer Disease
paper_38159571,mesh_Apolipoprotein E4
paper_38159571,mesh_Apolipoproteins E
paper_38159571,mesh_Brain
paper_38159571,mesh_Genotype
paper_38159571,mesh_Microglia
paper_38141345,mesh_Wastewater
paper_38141345,mesh_Polyhydroxyalkanoates
paper_38141345,mesh_Bioreactors
paper_38141345,mesh_Sewage
paper_38141345,mesh_Bacteria
paper_38158669,mesh_Coronary Artery Disease
paper_38158669,"mesh_Polymorphism, Genetic"
paper_38158669,mesh_Lipids
paper_38158669,mesh_Middle Eastern People
paper_38158669,"mesh_Natriuretic Peptide, Brain"
paper_38158669,mesh_Humans
paper_38158669,mesh_Genotype
paper_35378945,mesh_Bayes Theorem
paper_35378945,mesh_Critical Care
paper_35378945,mesh_Humans
paper_35378945,mesh_Intensive Care Units
paper_35378945,mesh_Machine Learning
paper_35378945,mesh_Sepsis
paper_37989525,mesh_Humans
paper_37989525,mesh_Female
paper_37989525,mesh_Estrogen Receptor alpha
paper_37989525,mesh_Progesterone
paper_37989525,"mesh_Enhancer Elements, Genetic"
paper_37989525,mesh_Chromatin
paper_37989525,mesh_Breast Neoplasms
paper_37989525,mesh_Estradiol
paper_38157847,mesh_Escherichia coli
paper_38157847,mesh_Bacterial Proteins
paper_38157847,"mesh_Chromosomes, Bacterial"
paper_38157847,mesh_Cytoskeletal Proteins
paper_38157847,mesh_Cell Cycle
paper_38157847,mesh_Cell Division
paper_35912162,"mesh_Biomarkers, Tumor"
paper_35912162,mesh_Early Detection of Cancer
paper_35912162,mesh_Humans
paper_35912162,mesh_Immunoassay
paper_35912162,mesh_Mass Screening
paper_35912162,mesh_Sensitivity and Specificity
paper_35912162,mesh_Stomach Neoplasms
paper_36787269,mesh_Humans
paper_36787269,mesh_Vitrectomy
paper_36787269,mesh_Microsurgery
paper_36787269,mesh_Postoperative Complications
paper_36787269,mesh_Neurosurgical Procedures
paper_36787269,mesh_Soft Tissue Injuries
paper_36787269,mesh_Sutures
paper_36787269,mesh_Retrospective Studies
paper_36787269,mesh_Treatment Outcome
paper_33270670,mesh_Algorithms
paper_33270670,mesh_Artificial Intelligence
paper_33270670,mesh_Deep Learning
paper_33270670,mesh_Facial Recognition
paper_33270670,mesh_Humans
paper_33270670,mesh_Machine Learning
paper_33270670,"mesh_Neural Networks, Computer"
paper_33270670,mesh_Support Vector Machine
paper_38357133,mesh_Humans
paper_38357133,mesh_Pseudomonas aeruginosa
paper_38357133,mesh_Nigeria
paper_38357133,"mesh_RNA, Ribosomal, 16S"
paper_38357133,mesh_Anti-Bacterial Agents
paper_38357133,mesh_Pseudomonas Infections
paper_38357133,mesh_Microbial Sensitivity Tests
paper_20176685,mesh_Animals
paper_20176685,mesh_Apoptosis
paper_20176685,mesh_Cytokines
paper_20176685,mesh_Enzyme Induction
paper_20176685,mesh_Fas Ligand Protein
paper_20176685,mesh_Male
paper_20176685,mesh_Mice
paper_20176685,mesh_Neutrophil Infiltration
paper_20176685,mesh_Nitric Oxide Synthase
paper_20176685,mesh_PPAR delta
paper_20176685,mesh_PPAR-beta
paper_20176685,mesh_Peroxidase
paper_20176685,mesh_Spinal Cord Injuries
paper_20176685,mesh_Sulfones
paper_20176685,mesh_Thiazoles
paper_20176685,mesh_Thiophenes
paper_20176685,mesh_Tumor Necrosis Factor-alpha
paper_20176685,mesh_Tyrosine
paper_20176685,mesh_Phenols
paper_20176685,mesh_Sulfhydryl Compounds
paper_38135598,mesh_Humans
paper_38135598,mesh_Animals
paper_38135598,mesh_Alphavirus
paper_38135598,mesh_Virus Replication
paper_38135598,mesh_Mammals
paper_34915030,mesh_Catalysis
paper_34915030,mesh_Environmental Pollutants
paper_34915030,mesh_Light
paper_34915030,mesh_Manganese Compounds
paper_34915030,mesh_Nanostructures
paper_34915030,mesh_Oxides
paper_34915030,mesh_Titanium
paper_34915030,mesh_Water Purification
paper_37972905,mesh_Animals
paper_37972905,mesh_Mice
paper_37972905,mesh_Cancer-Associated Fibroblasts
paper_37972905,mesh_Silicon Dioxide
paper_37972905,mesh_Drug Carriers
paper_37972905,mesh_Nanoparticles
paper_37972905,mesh_Skin Neoplasms
paper_37972905,mesh_Lung Neoplasms
paper_37972905,mesh_Porosity
paper_37972905,mesh_Indoles
paper_37972905,mesh_Polymers
paper_37972905,mesh_Benzofurans
paper_37972905,mesh_Depsides
paper_37221969,mesh_Child
paper_37221969,mesh_Humans
paper_37221969,mesh_Tissue Adhesives
paper_37221969,mesh_Surgical Wound Infection
paper_37221969,mesh_Surgical Wound Dehiscence
paper_37221969,mesh_Wound Healing
paper_37221969,mesh_Bandages
paper_37221969,mesh_Postoperative Complications
paper_38680232,mesh_Animals
paper_38680232,mesh_Cattle
paper_38680232,mesh_Arrestins
paper_38680232,mesh_Case-Control Studies
paper_38680232,mesh_Cattle Diseases
paper_38680232,mesh_Genetic Predisposition to Disease
paper_38680232,mesh_Genome-Wide Association Study
paper_38680232,mesh_Heart Failure
paper_38680232,mesh_NFI Transcription Factors
paper_38680232,"mesh_Polymorphism, Single Nucleotide"
paper_38680232,mesh_Retrospective Studies
paper_39165512,mesh_Humans
paper_39165512,mesh_Mendelian Randomization Analysis
paper_39165512,mesh_Diabetic Nephropathies
