node_id,author_name
author_,
author_Yunge Gao,Yunge Gao
author_Judith K Keller,Judith K Keller
author_Amarajothi Dhakshinamoorthy,Amarajothi Dhakshinamoorthy
author_Samantha Macchi,Samantha Macchi
author_Lingqiao Zhang,Lingqiao Zhang
author_Niraj Maskey,Niraj Maskey
author_Douglas F Nixon,Douglas F Nixon
author_Kathleen Henriksen,Kathleen Henriksen
author_Eugene B Pichkur,Eugene B Pichkur
author_Yang Yang,Yang Yang
author_Lionel Almeras,Lionel Almeras
author_Heather Colquhoun,Heather Colquhoun
author_T P Loh,T P Loh
author_Fataneh Esmaeili,Fataneh Esmaeili
author_Ruzhena Matkivska,Ruzhena Matkivska
author_Yinyin Wu,Yinyin Wu
author_Hideyuki Hyogo,Hideyuki Hyogo
author_Ghulam Ali,Ghulam Ali
author_Shinya Okabe,Shinya Okabe
author_Junhui Ye,Junhui Ye
author_Junling Liu,Junling Liu
author_Andreas Huettmann,Andreas Huettmann
author_Lawrence J Fine,Lawrence J Fine
author_Yu-Li Shen,Yu-Li Shen
author_Beth Dy,Beth Dy
author_Yasushi Yatabe,Yasushi Yatabe
author_Hailiang Wang,Hailiang Wang
author_Bryan Lajoie,Bryan Lajoie
author_Madelon J H Metman,Madelon J H Metman
author_Qiang Li,Qiang Li
author_Sirpa Jalkanen,Sirpa Jalkanen
author_Masaki Matsubara,Masaki Matsubara
author_Nada A Alanazi,Nada A Alanazi
author_Lauri Polari,Lauri Polari
author_Roberto Sánchez,Roberto Sánchez
author_Vitor Oliveira de Rosso,Vitor Oliveira de Rosso
author_Xuqing Zhou,Xuqing Zhou
author_Heather Francis,Heather Francis
author_Zhang Qing,Zhang Qing
author_Andreea Iren Serban,Andreea Iren Serban
author_Wen-Zhao Chen,Wen-Zhao Chen
author_Trung Nguyen Vu,Trung Nguyen Vu
author_Daniel Asarnow,Daniel Asarnow
author_Somayyeh Azimi,Somayyeh Azimi
author_Yizhou Yu,Yizhou Yu
author_Handong Yang,Handong Yang
author_Komal Sodhi,Komal Sodhi
author_Mehri Salari,Mehri Salari
author_Pirouz Samidoust,Pirouz Samidoust
author_Qi Yan Nan,Qi Yan Nan
author_James Prota,James Prota
author_Adeline A Lau,Adeline A Lau
author_Rikke S Møller,Rikke S Møller
author_Tao Xu,Tao Xu
author_R Nagarathna,R Nagarathna
author_Ayodeji Sylvester Adeyanju,Ayodeji Sylvester Adeyanju
author_Alexander V Sergeev,Alexander V Sergeev
author_Wayne Denis Hall,Wayne Denis Hall
author_Parijat Kamble,Parijat Kamble
author_Haoxiang Zhang,Haoxiang Zhang
author_Yali Sun,Yali Sun
author_Guizhi Sun,Guizhi Sun
author_Zheng-Yi Han,Zheng-Yi Han
author_Yaseen Salih Hama,Yaseen Salih Hama
author_Jeroen J Bax,Jeroen J Bax
author_Abdullah Nashmi AlRashidi,Abdullah Nashmi AlRashidi
author_Ali Ababneh,Ali Ababneh
author_Daniel D DeCarvalho,Daniel D DeCarvalho
author_Daisuke Tsuge,Daisuke Tsuge
author_Fabiana Zingone,Fabiana Zingone
author_Irene Simonetta,Irene Simonetta
author_Yuhe Liang,Yuhe Liang
author_Raquel Molero,Raquel Molero
author_J J Wang,J J Wang
author_Thangavel Venkatachalam,Thangavel Venkatachalam
author_Christoph Becker-Pauly,Christoph Becker-Pauly
author_Sophocles H Voineskos,Sophocles H Voineskos
author_Daphne van Beek,Daphne van Beek
author_Hiroshi Mori,Hiroshi Mori
author_Marina Vieira de Carvalho,Marina Vieira de Carvalho
author_Zahra Gholami,Zahra Gholami
author_Abhishek Iyer,Abhishek Iyer
author_Bhavarth P Dave,Bhavarth P Dave
author_Lina Heier,Lina Heier
author_Keita Ishizuka,Keita Ishizuka
