node_id,journal_name
journal_PloS one,PloS one
journal_Environmental research,Environmental research
journal_Scientific reports,Scientific reports
journal_Frontiers in neuroscience,Frontiers in neuroscience
journal_Clinics and research in hepatology and gastroenterology,Clinics and research in hepatology and gastroenterology
journal_BioMed research international,BioMed research international
"journal_European journal of obstetrics, gynecology, and reproductive biology","European journal of obstetrics, gynecology, and reproductive biology"
journal_Zootaxa,Zootaxa
"journal_Immunity, inflammation and disease","Immunity, inflammation and disease"
journal_International wound journal,International wound journal
journal_Indian journal of clinical biochemistry : IJCB,Indian journal of clinical biochemistry : IJCB
"journal_Science (New York, N.Y.)","Science (New York, N.Y.)"
journal_BMC complementary medicine and therapies,BMC complementary medicine and therapies
journal_The Lancet regional health. Southeast Asia,The Lancet regional health. Southeast Asia
journal_Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI),Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI)
journal_Virus evolution,Virus evolution
journal_Immunity,Immunity
journal_Journal of environmental management,Journal of environmental management
"journal_Cellular and molecular biology (Noisy-le-Grand, France)","Cellular and molecular biology (Noisy-le-Grand, France)"
"journal_Bioengineering (Basel, Switzerland)","Bioengineering (Basel, Switzerland)"
"journal_Antibiotics (Basel, Switzerland)","Antibiotics (Basel, Switzerland)"
journal_Journal of healthcare engineering,Journal of healthcare engineering
journal_Life science alliance,Life science alliance
journal_Cell systems,Cell systems
journal_Computational and mathematical methods in medicine,Computational and mathematical methods in medicine
journal_African health sciences,African health sciences
journal_The Journal of pharmacology and experimental therapeutics,The Journal of pharmacology and experimental therapeutics
journal_Trends in immunology,Trends in immunology
journal_European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences
journal_Emergency medicine international,Emergency medicine international
journal_Vaccines,Vaccines
journal_F1000Research,F1000Research
journal_Frontiers in endocrinology,Frontiers in endocrinology
journal_Biochemistry and cell biology = Biochimie et biologie cellulaire,Biochemistry and cell biology = Biochimie et biologie cellulaire
journal_Food science & nutrition,Food science & nutrition
journal_Frontiers in public health,Frontiers in public health
journal_EcoHealth,EcoHealth
journal_Frontiers in pharmacology,Frontiers in pharmacology
journal_Journal of cellular physiology,Journal of cellular physiology
journal_Frontiers in cellular and infection microbiology,Frontiers in cellular and infection microbiology
"journal_Annals of the Academy of Medicine, Singapore","Annals of the Academy of Medicine, Singapore"
journal_Frontiers in psychology,Frontiers in psychology
journal_Hip & pelvis,Hip & pelvis
journal_Oncology letters,Oncology letters
"journal_Chemical communications (Cambridge, England)","Chemical communications (Cambridge, England)"
journal_Bulletin of experimental biology and medicine,Bulletin of experimental biology and medicine
journal_Skin appendage disorders,Skin appendage disorders
journal_Cancer chemotherapy and pharmacology,Cancer chemotherapy and pharmacology
journal_Experimental parasitology,Experimental parasitology
journal_Indian journal of public health,Indian journal of public health
journal_Journal of environmental and public health,Journal of environmental and public health
journal_International journal of clinical and experimental medicine,International journal of clinical and experimental medicine
journal_The Indian journal of tuberculosis,The Indian journal of tuberculosis
journal_Heliyon,Heliyon
journal_Environmental science and pollution research international,Environmental science and pollution research international
journal_Journal of cellular biochemistry,Journal of cellular biochemistry
journal_bioRxiv : the preprint server for biology,bioRxiv : the preprint server for biology
"journal_Molecules (Basel, Switzerland)","Molecules (Basel, Switzerland)"
journal_International journal of analytical chemistry,International journal of analytical chemistry
journal_Frontiers in immunology,Frontiers in immunology
journal_Chemosphere,Chemosphere
journal_Food and environmental virology,Food and environmental virology
journal_iScience,iScience
journal_BMC plant biology,BMC plant biology
journal_Journal of veterinary research,Journal of veterinary research
journal_Nepalese journal of ophthalmology : a biannual peer-reviewed academic journal of the Nepal Ophthalmic Society : NEPJOPH,Nepalese journal of ophthalmology : a biannual peer-reviewed academic journal of the Nepal Ophthalmic Society : NEPJOPH
journal_Journal of cancer research and therapeutics,Journal of cancer research and therapeutics
journal_Journal of food and drug analysis,Journal of food and drug analysis
journal_The Journal of the Association of Physicians of India,The Journal of the Association of Physicians of India
journal_Asia-Pacific journal of public health,Asia-Pacific journal of public health
journal_Frontiers in microbiology,Frontiers in microbiology
journal_Proceedings of the National Academy of Sciences of the United States of America,Proceedings of the National Academy of Sciences of the United States of America
journal_Nature communications,Nature communications
"journal_Advanced science (Weinheim, Baden-Wurttemberg, Germany)","Advanced science (Weinheim, Baden-Wurttemberg, Germany)"
journal_The Saudi dental journal,The Saudi dental journal
journal_Environmental toxicology,Environmental toxicology
journal_International immunopharmacology,International immunopharmacology
journal_Mathematical biosciences and engineering : MBE,Mathematical biosciences and engineering : MBE
journal_Cancer cell,Cancer cell
journal_Indian journal of pathology & microbiology,Indian journal of pathology & microbiology
journal_Pediatric blood & cancer,Pediatric blood & cancer
