node_id,mesh_term
"mesh_Genome, Plant","Genome, Plant"
mesh_Lipoylation,Lipoylation
"mesh_Animals, Newborn","Animals, Newborn"
"mesh_Cell Line, Transformed","Cell Line, Transformed"
"mesh_Ventricular Function, Left","Ventricular Function, Left"
mesh_Congo Red,Congo Red
mesh_Glasgow Coma Scale,Glasgow Coma Scale
mesh_Alkyl and Aryl Transferases,Alkyl and Aryl Transferases
mesh_NG-Nitroarginine Methyl Ester,NG-Nitroarginine Methyl Ester
mesh_Frameshift Mutation,Frameshift Mutation
mesh_Hypospadias,Hypospadias
mesh_bcl-X Protein,bcl-X Protein
mesh_Mammography,Mammography
mesh_Visual Perception,Visual Perception
mesh_Immunoglobulin A,Immunoglobulin A
mesh_Trehalose,Trehalose
"mesh_Adjuvants, Anesthesia","Adjuvants, Anesthesia"
mesh_Diet Surveys,Diet Surveys
mesh_Thrombopoietin,Thrombopoietin
mesh_rhoA GTP-Binding Protein,rhoA GTP-Binding Protein
mesh_Vertebroplasty,Vertebroplasty
"mesh_Genes, Reporter","Genes, Reporter"
mesh_Population Density,Population Density
mesh_Cytochromes c,Cytochromes c
mesh_Fresh Water,Fresh Water
mesh_Contraception,Contraception
"mesh_Evoked Potentials, Motor","Evoked Potentials, Motor"
mesh_Circoviridae Infections,Circoviridae Infections
mesh_Chagas Cardiomyopathy,Chagas Cardiomyopathy
mesh_Cottonseed Oil,Cottonseed Oil
mesh_Golgi Apparatus,Golgi Apparatus
mesh_Helminths,Helminths
mesh_Chronotherapy,Chronotherapy
mesh_Adrenergic alpha-Agonists,Adrenergic alpha-Agonists
mesh_Plant Growth Regulators,Plant Growth Regulators
mesh_Anisoles,Anisoles
mesh_Prealbumin,Prealbumin
mesh_Uveal Melanoma,Uveal Melanoma
mesh_beta-Lactams,beta-Lactams
mesh_Pyrimidinones,Pyrimidinones
mesh_Polychlorinated Biphenyls,Polychlorinated Biphenyls
mesh_Biobehavioral Sciences,Biobehavioral Sciences
mesh_Pyruvate Dehydrogenase Acetyl-Transferring Kinase,Pyruvate Dehydrogenase Acetyl-Transferring Kinase
mesh_Malaria,Malaria
mesh_Lethal Dose 50,Lethal Dose 50
mesh_rac1 GTP-Binding Protein,rac1 GTP-Binding Protein
mesh_Bauhinia,Bauhinia
"mesh_Muscle, Smooth, Vascular","Muscle, Smooth, Vascular"
"mesh_Heterocyclic Compounds, 4 or More Rings","Heterocyclic Compounds, 4 or More Rings"
mesh_Sex Chromosome Disorders of Sex Development,Sex Chromosome Disorders of Sex Development
mesh_Antiphospholipid Syndrome,Antiphospholipid Syndrome
mesh_Systems Biology,Systems Biology
mesh_Serine Endopeptidases,Serine Endopeptidases
mesh_Phenols,Phenols
mesh_Proctitis,Proctitis
"mesh_Hypertension, Pregnancy-Induced","Hypertension, Pregnancy-Induced"
mesh_Extracellular Matrix Proteins,Extracellular Matrix Proteins
mesh_Sorption Detoxification,Sorption Detoxification
mesh_NAD(P)H Dehydrogenase (Quinone),NAD(P)H Dehydrogenase (Quinone)
mesh_Multimodal Imaging,Multimodal Imaging
mesh_Benzamides,Benzamides
mesh_Malathion,Malathion
mesh_Sirtuins,Sirtuins
mesh_rho-Associated Kinases,rho-Associated Kinases
mesh_Gene Flow,Gene Flow
mesh_Holidays,Holidays
mesh_Lacticaseibacillus rhamnosus,Lacticaseibacillus rhamnosus
"mesh_Bronchitis, Chronic","Bronchitis, Chronic"
mesh_Ciliophora,Ciliophora
mesh_Microalgae,Microalgae
mesh_Alzheimer Disease,Alzheimer Disease
"mesh_Receptors, Ionotropic Glutamate","Receptors, Ionotropic Glutamate"
mesh_Implosive Therapy,Implosive Therapy
