node_id,pmid,title,journal,year,doi,n_authors,n_mesh_terms
paper_28640836,28640836,Craniofacial similarity analysis through sparse principal component analysis.,PloS one,2017.0,10.1371/journal.pone.0179671,8,11
paper_36863657,36863657,Enhanced membraneless fuel cells by electrooxidation of ethylene glycol with a nanostructured cobalt metal catalyst.,Environmental research,2023.0,10.1016/j.envres.2023.115601,7,5
paper_39774831,39774831,A fixed support method for cryogenic silicon cavities of ultra-stable lasers for space applications.,Scientific reports,2025.0,10.1038/s41598-025-85527-9,7,0
paper_38204816,38204816,Flavonoids and fibrate modulate apoE4-induced processing of amyloid precursor protein in neuroblastoma cells.,Frontiers in neuroscience,2023.0,10.3389/fnins.2023.1245895,2,0
paper_24928711,24928711,Steroid-resistant acute rejection after cadaveric liver transplantation: experience from one single center.,Clinics and research in hepatology and gastroenterology,2014.0,10.1016/j.clinre.2014.04.005,7,15
paper_35434133,35434133,"Identification of Diagnostic Biomarkers, Immune Infiltration Characteristics, and Potential Compounds in Rheumatoid Arthritis.",BioMed research international,2022.0,10.1155/2022/1926661,7,6
paper_32217429,32217429,"Effects of low-dose aspirin on the prevention of preeclampsia and pregnancy outcomes: A randomized controlled trial from Shanghai, China.","European journal of obstetrics, gynecology, and reproductive biology",2020.0,10.1016/j.ejogrb.2020.03.038,8,12
paper_38221110,38221110,Growth in two deep-sea associates: the octocoral Pseudogorgia bellona and the euryalid snake star Asteroschema ajax.,Zootaxa,2023.0,10.11646/zootaxa.5336.1.3,3,4
paper_34766472,34766472,lncRNA BZRAP1-AS1 alleviates rheumatoid arthritis by regulating miR-1286/COL5A2 axis.,"Immunity, inflammation and disease",2022.0,10.1002/iid3.558,3,7
paper_37518769,37518769,Influence of closed-incision negative-pressure wound therapy on the incidence of surgical site wound infection in patients undergoing spine surgery: A meta-analysis.,International wound journal,2023.0,10.1111/iwj.14317,2,6
paper_38577148,38577148,Protective Role of Vitamin D Against Development of Active Tuberculosis in Close Household Contacts of Pulmonary Tuberculosis Patients: A Prospective Cohort Study.,Indian journal of clinical biochemistry : IJCB,2024.0,10.1007/s12291-022-01110-3,6,0
paper_21127214,21127214,RETRACTED: A bacterium that can grow by using arsenic instead of phosphorus.,"Science (New York, N.Y.)",2011.0,10.1126/science.1197258,12,14
paper_38102661,38102661,Proteomic analysis reveals the molecular mechanism of Astragaloside in the treatment of non-small cell lung cancer by inducing apoptosis.,BMC complementary medicine and therapies,2023.0,10.1186/s12906-023-04305-0,6,6
paper_38482149,38482149,Management of drug-resistant tuberculosis in Indonesia: a four-year cascade of care analysis.,The Lancet regional health. Southeast Asia,2024.0,10.1016/j.lansea.2023.100294,10,0
paper_38932455,38932455,Serum lipids may causally affect the occurrence of alopecia areata: A Mendelian randomization study.,Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI),2024.0,10.1111/srt.13785,8,6
paper_39129757,39129757,Association between SARS-CoV-2 and metagenomic content of samples from the Huanan Seafood Market.,Virus evolution,2023.0,10.1093/ve/vead050,1,0
paper_38159571,38159571,An exhausted-like microglial population accumulates in aged and APOE4 genotype Alzheimer's brains.,Immunity,2024.0,10.1016/j.immuni.2023.12.001,3,10
paper_38141345,38141345,Combined recovery of polyhydroxyalkanoates and reclaimed water in the mainstream of a WWTP for agro-food industrial wastewater valorisation by membrane bioreactor technology.,Journal of environmental management,2024.0,10.1016/j.jenvman.2023.119836,7,5
paper_38158669,38158669,Relationship between lipid profile and B‑type natriuretic peptide T‑381C (rs198389) gene polymorphism in patients with stable coronary artery disease.,"Cellular and molecular biology (Noisy-le-Grand, France)",2023.0,10.14715/cmb/2023.69.13.28,3,7
paper_38135959,38135959,Recent Advances in Optically Controlled PROTAC.,"Bioengineering (Basel, Switzerland)",2023.0,10.3390/bioengineering10121368,6,0
paper_38136716,38136716,Applications of Romanian Propolis in Phyto-Inhibitory Activity and Antimicrobial Protection: A Comparative Study.,"Antibiotics (Basel, Switzerland)",2023.0,10.3390/antibiotics12121682,8,0
paper_35378945,35378945,A Machine Learning Model for Early Prediction and Detection of Sepsis in Intensive Care Unit Patients.,Journal of healthcare engineering,2022.0,10.1155/2022/9263391,4,6
paper_37989525,37989525,Enhancer-driven 3D chromatin domain folding modulates transcription in human mammary tumor cells.,Life science alliance,2024.0,10.26508/lsa.202302154,12,8
paper_38157847,38157847,Apparent simplicity and emergent robustness in the control of the Escherichia coli cell cycle.,Cell systems,2024.0,10.1016/j.cels.2023.12.001,5,6
paper_35912162,35912162,A New Method for Early Screening of Gastric Cancer (G17 and CA724 Dual-Labeled Time-Resolved Fluorescence Immunoassay).,Computational and mathematical methods in medicine,2022.0,10.1155/2022/1704948,8,7
paper_36787269,36787269,27-gauge microincision vitrectomy surgery compared with 25-gauge microincision vitrectomy surgery on wound closure and need for wound suture and other postoperative parameters in the treatment of vitreoretinal disease: A meta-analysis.,International wound journal,2023.0,10.1111/iwj.13917,8,9
paper_33270670,33270670,RETRACTED: A deep facial recognition system using computational intelligent algorithms.,PloS one,2020.0,10.1371/journal.pone.0242269,4,8
paper_38357133,38357133,"Molecular characterization of multidrug resistant (MDR) clinical isolates of <i>Pseudomonas aeruginosa</i> from Nsukka, South Eastern Nigeria.",African health sciences,2023.0,10.4314/ahs.v23i3.57,4,7
paper_20176685,20176685,Evidence for the role of peroxisome proliferator-activated receptor-beta/delta in the development of spinal cord injury.,The Journal of pharmacology and experimental therapeutics,2010.0,10.1124/jpet.110.165605,9,20
paper_38135598,38135598,The many ways in which alphaviruses bind to cells.,Trends in immunology,2024.0,10.1016/j.it.2023.11.006,3,5
paper_34915030,34915030,Effect of Ag doped MnO<sub>2</sub> nanostructures suitable for wastewater treatment and other environmental pollutant applications.,Environmental research,2022.0,10.1016/j.envres.2021.112560,11,8
paper_37972905,37972905,Salvianolic acid B-loaded polydopamine-modified hollow mesoporous organic silica nanoparticles for treatment of breast cancer metastasis via suppressing cancer-associated fibroblasts.,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,2024.0,10.1016/j.ejps.2023.106641,8,13
paper_37221969,37221969,The outcome of sutured wounds compared with tissue adhesive for paediatric wound closure: A meta-analysis.,International wound journal,2023.0,10.1111/iwj.14210,6,8
paper_36105671,36105671,Nursing of Vulvar Cancer Radical Operation Combined with Laparoscopic Inguinal Lymph Node Dissection.,Emergency medicine international,2022.0,10.1155/2022/8091114,2,0
paper_38140193,38140193,"Immunogenicity, Efficacy, and Safety of a Novel Synthetic Microparticle Pre-Erythrocytic Malaria Vaccine in Multiple Host Species.",Vaccines,2023.0,10.3390/vaccines11121789,11,0
paper_38680232,38680232,Association of <i>ARRDC3</i> and <i>NFIA</i> variants with bovine congestive heart failure in feedlot cattle.,F1000Research,2022.0,10.12688/f1000research.109488.2,16,11
paper_39165512,39165512,Mendelian randomization based on immune cells in diabetic nephropathy.,Frontiers in endocrinology,2024.0,10.3389/fendo.2024.1460652,5,9
paper_38086039,38086039,Identification of critical mitochondrial hub gene for facial nerve regeneration.,Biochemistry and cell biology = Biochimie et biologie cellulaire,2024.0,10.1139/bcb-2023-0224,7,8
paper_35251574,35251574,Deep Learning-Based Emergency Care Process Reengineering of Interventional Data for Patients with Emergency Time-Series Events of Myocardial Infarction.,Journal of healthcare engineering,2022.0,10.1155/2022/7339930,5,7
paper_38455215,38455215,"Inulin-type fructans with different degrees of polymerization improve insulin resistance, metabolic parameters, and hormonal status in overweight and obese women with polycystic ovary syndrome: A randomized double-blind, placebo-controlled clinical trial.",Food science & nutrition,2024.0,10.1002/fsn3.3899,6,0
paper_39659724,39659724,"Prevalence of pulmonary hypertension and its associated factors among chronic obstructive pulmonary diseases patients at public hospitals of Addis Ababa, Ethiopia, 2024: a facility-based cross-sectional study.",Frontiers in public health,2024.0,10.3389/fpubh.2024.1456235,4,15
paper_38110612,38110612,Serological Survey for Three Canine Viruses in Brazilian Wild Carnivores : Antibodies Against Canine Viruses in Wild Carnivores.,EcoHealth,2023.0,10.1007/s10393-023-01665-4,7,10
paper_37381159,37381159,Effect of various repositioning regimens on pressure wound ulcer occurrence in at-risk adult persons without existing pressure wound ulcers: A meta-analysis.,International wound journal,2023.0,10.1111/iwj.14277,6,5
paper_38283837,38283837,"Deciphering hepatocellular carcinoma pathogenesis and therapeutics: a study on anoikis, ceRNA regulatory network and traditional Chinese medicine.",Frontiers in pharmacology,2023.0,10.3389/fphar.2023.1325992,5,0
paper_40467629,40467629,Harnessing the application of halophytic flora biomass in the management of healthcare of local people in the Salt Range of Punjab.,Scientific reports,2025.0,10.1038/s41598-025-00961-z,10,12
paper_31612498,31612498,miR-145 promotes miR-133b expression through c-myc and DNMT3A-mediated methylation in ovarian cancer cells.,Journal of cellular physiology,2020.0,10.1002/jcp.29306,6,18
paper_38179422,38179422,"Molecular characterization of <i>Listeria monocytogenes</i> strains isolated from imported food in China from 14 countries/regions, 2003-2018.",Frontiers in cellular and infection microbiology,2023.0,10.3389/fcimb.2023.1287564,6,7
paper_38920202,38920202,Thiazide and thiazide-like diuretics are associated with improved cardiovascular and renal outcomes in patients with chronic kidney disease.,"Annals of the Academy of Medicine, Singapore",2023.0,10.47102/annals-acadmedsg.202359,9,17
paper_35281946,35281946,miRNA-448 Regulates the Development of Glioblastoma (GBM) by Regulating Rho-Associated Protein Kinase 1.,Computational and mathematical methods in medicine,2022.0,10.1155/2022/2502010,4,20
paper_35369216,35369216,"Stimulating Brand Innovation Strategy <i>via</i> Knowledge Acquisition, Market Orientation, and Strategic Capability Using Social Media Within China's Online Technology Industry.",Frontiers in psychology,2022.0,10.3389/fpsyg.2022.860307,2,0
paper_39620572,39620572,"Difference of Neck Shortening in Femoral Neck Fracture between Femoral Neck System and Multiple Cannulated Cancellous Screws: Single Center, Prospective Randomized Controlled Trial.",Hip & pelvis,2024.0,10.5371/hp.2024.36.4.310,8,0
paper_27588132,27588132,Matrine-induced autophagy counteracts cell apoptosis via the ERK signaling pathway in osteosarcoma cells.,Oncology letters,2016.0,10.3892/ol.2016.4848,4,0
